folio,ronda,en_encuesta,en_evaluaciones,en_cuestionario_nino,sexo,edad_anios,edad_meses_eval,region,comuna,area,fexp_transversal_enc,fexp_transversal_eval
100661,2012,1,1,,1.0,5.0,71.0,15.0,,1.0,54.381004333496094,64.16666412353516
100661,2017,1,1,1.0,1.0,11.0,141.0,15.0,15101.0,,77.0,79.0
100661,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,73.24376919657445,73.24376919657445
100681,2010,1,1,,2.0,3.0,45.0,15.0,,1.0,48.125,55.0
100681,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,87.25795322261747,87.25795322261747
100691,2010,1,1,,1.0,3.0,45.0,15.0,,1.0,48.125,55.0
100691,2012,1,0,,1.0,5.0,,15.0,,1.0,54.381004333496094,
100691,2017,1,1,1.0,1.0,11.0,139.0,15.0,15101.0,,77.0,79.0
100691,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,71.55022527469818,71.55022527469818
100701,2010,1,1,,2.0,3.0,44.0,15.0,,1.0,48.125,55.0
100701,2012,1,1,,2.0,5.0,71.0,15.0,,1.0,62.3760871887207,64.16666412353516
100701,2017,1,1,1.0,2.0,11.0,137.0,15.0,15101.0,,77.0,79.0
100701,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,80.92640281651032,80.92640281651032
100731,2010,1,1,,2.0,3.0,43.0,15.0,,1.0,48.125,55.0
100731,2012,1,1,,2.0,5.0,73.0,15.0,,1.0,55.88779830932617,64.16666412353516
100731,2017,1,1,1.0,2.0,11.0,140.0,15.0,15101.0,,77.0,79.0
100731,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,80.92640281651032,80.92640281651032
100741,2010,1,1,,2.0,3.0,43.0,15.0,,1.0,48.125,55.0
100741,2012,1,1,,2.0,5.0,70.0,15.0,,1.0,62.3760871887207,64.16666412353516
100741,2017,1,0,1.0,2.0,11.0,,15.0,15101.0,,77.0,
100741,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,83.68388796947576,83.68388796947576
100761,2010,1,1,,1.0,3.0,43.0,15.0,,1.0,48.125,55.0
100761,2012,1,1,,1.0,5.0,71.0,15.0,,1.0,54.02661895751953,64.16666412353516
100761,2017,1,1,1.0,1.0,11.0,135.0,15.0,15101.0,,77.0,79.0
100771,2010,1,1,,1.0,3.0,43.0,15.0,,1.0,48.125,55.0
100771,2012,1,1,,1.0,5.0,70.0,15.0,,1.0,56.4496955871582,64.16666412353516
100791,2010,1,1,,2.0,3.0,43.0,15.0,,1.0,48.125,55.0
100791,2012,1,1,,2.0,5.0,69.0,15.0,,1.0,54.381004333496094,64.16666412353516
