folio,en_2010,en_eval_2010,en_2012,en_eval_2012,en_2017,en_eval_2017,en_2024,en_eval_2024,n_rondas,patron_participacion,muestra_origen,sexo,sexo_consistente,muestra_2012,fexp_encP_2012,fexp_testP_2012,espanel_2017,fexp_hogP_2017,fexp_encP_2017,fexp_evaP_2017,fexp_encP_1217_2017,fexp_evaP_1217_2017,fexp_encP_1017_2017,fexp_evaP_1017_2017,f_exp_1024,f_exp_101224,f_exp_101724,f_exp_10121724
100481,1,1,1,1,0,0,1,1,3,1101,original_2010,2.0,1,1.0,54.381004333496094,65.98860931396484,,,,,,,,,66.84938676762476,,74.45160211387265,
100491,1,1,1,0,0,0,1,1,3,1101,original_2010,1.0,1,1.0,55.88779830932617,,,,,,,,,,79.81383428122095,,88.70451963509656,
100511,1,1,1,1,1,1,0,0,3,1110,original_2010,2.0,1,1.0,55.88779830932617,71.59033966064453,1.0,79.90498352050781,79.90498352050781,98.05950164794922,79.90498352050781,89.54589080810547,74.43412017822266,87.38935852050781,,,,
100531,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,55.88779830932617,65.98860931396484,1.0,80.40089416503906,80.40089416503906,103.0165023803711,80.40089416503906,94.07251739501953,78.49915313720703,90.9689712524414,75.10428648903114,92.14066327504601,84.25990549532352,99.18401882308312
100541,1,1,1,1,1,1,0,0,3,1110,original_2010,1.0,1,1.0,56.4496955871582,76.5256576538086,1.0,86.75398254394531,86.75398254394531,109.08627319335938,86.75398254394531,99.61530303955078,78.49915313720703,97.23735809326172,,,,
100551,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,56.4496955871582,69.73853302001953,1.0,79.90498352050781,79.90498352050781,98.05950164794922,79.90498352050781,89.54589080810547,74.43412017822266,84.39167785644531,71.49757620251518,86.58181530853736,80.1968094518493,91.65808867021178
100561,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,62.3760871887207,76.5256576538086,1.0,92.27954864501953,92.27954864501953,109.08627319335938,92.27954864501953,99.61530303955078,81.1572036743164,92.42459106445312,69.83379972047598,86.58181530853736,83.01688414754541,99.18401882308312
100571,1,1,0,0,0,0,0,0,1,1000,original_2010,1.0,1,,,,,,,,,,,,,,,
100591,1,1,1,1,0,0,1,1,3,1101,original_2010,1.0,1,1.0,56.4496955871582,69.73853302001953,,,,,,,,,72.81039577404107,,79.43458176032911,
100611,1,1,1,1,1,1,0,0,3,1110,original_2010,2.0,1,1.0,56.4496955871582,71.59033966064453,1.0,86.75398254394531,86.75398254394531,103.0165023803711,86.75398254394531,94.07251739501953,77.58199310302734,92.42459106445312,,,,
100621,1,1,0,0,1,1,0,0,2,1010,original_2010,1.0,1,,,,1.0,,,,,,74.43412017822266,84.39167785644531,,,,
100641,1,1,0,0,0,0,0,0,1,1000,original_2010,1.0,1,,,,,,,,,,,,,,,
100651,1,0,0,0,1,1,0,0,2,1010,original_2010,1.0,1,,,,1.0,,,,,,75.21158599853516,,,,,
100661,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,54.381004333496094,65.98860931396484,1.0,74.88894653320312,74.88894653320312,98.05950164794922,74.88894653320312,89.54589080810547,74.43412017822266,87.38935852050781,78.42109189597343,90.8940480189769,82.45041962554414,93.23320193470695
100681,1,1,0,0,0,0,1,1,2,1001,original_2010,2.0,1,,,,,,,,,,,,71.49757620251518,,,
100691,1,1,1,0,1,1,1,1,4,1111,original_2010,1.0,1,1.0,54.381004333496094,,1.0,79.90498352050781,79.90498352050781,,79.90498352050781,,74.43412017822266,87.38935852050781,79.81383428122095,97.98008585167754,85.56431072600724,104.2180628624984
100701,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,62.3760871887207,76.5256576538086,1.0,86.75398254394531,86.75398254394531,109.08627319335938,86.75398254394531,99.61530303955078,78.49915313720703,92.42459106445312,77.62980604832555,92.14066327504601,88.51506219958364,100.11734129020445
100731,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,55.88779830932617,69.73853302001953,1.0,79.90498352050781,79.90498352050781,98.05950164794922,79.90498352050781,89.54589080810547,74.43412017822266,87.38935852050781,72.61030195171666,83.8802411483033,77.27825463479115,88.19152534675767
100741,1,1,1,1,1,0,1,1,4,1111,original_2010,2.0,1,1.0,62.3760871887207,71.59033966064453,1.0,86.75398254394531,86.75398254394531,,86.75398254394531,,78.49915313720703,,81.02391111930145,93.5110202466884,95.9707377470394,100.11734129020445
100761,1,1,1,1,1,1,0,0,3,1110,original_2010,1.0,1,1.0,54.02661895751953,65.98860931396484,1.0,39.952491760253906,79.90498352050781,91.19496154785156,79.90498352050781,83.27733612060547,74.43412017822266,87.38935852050781,,,,
100771,1,1,1,1,0,0,0,0,2,1100,original_2010,1.0,1,1.0,56.4496955871582,71.59033966064453,,,,,,,,,,,,
100791,1,1,1,1,0,0,1,1,3,1101,original_2010,2.0,1,1.0,54.381004333496094,63.31688690185547,,,,,,,,,72.61030195171666,,88.64848373194553,
100801,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,55.88779830932617,69.73853302001953,1.0,80.40089416503906,80.40089416503906,98.05950164794922,80.40089416503906,89.54589080810547,75.21158599853516,90.9689712524414,96.07255391315586,108.98335118359198,96.77850892839301,119.14025514363337
100811,1,0,1,0,0,0,1,1,3,1101,original_2010,1.0,1,1.0,55.88779830932617,,,,,,,,,,84.30614962218904,,96.77850892839301,
100821,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,55.88779830932617,69.73853302001953,1.0,80.40089416503906,80.40089416503906,98.05950164794922,80.40089416503906,89.54589080810547,75.21158599853516,87.38935852050781,66.84938676762476,83.8802411483033,74.45160211387265,86.48010697615416
100861,1,1,1,1,1,1,0,0,3,1110,original_2010,2.0,1,1.0,62.3760871887207,76.5256576538086,1.0,46.139774322509766,92.27954864501953,109.08627319335938,92.27954864501953,99.61530303955078,81.1572036743164,92.42459106445312,,,,
100881,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,62.3760871887207,76.5256576538086,1.0,95.0272216796875,95.0272216796875,120.68601989746094,95.0272216796875,110.20795440673828,84.6944808959961,97.23735809326172,84.55211297432609,101.42059889930346,94.43929674689055,107.9353463363478
100891,1,1,1,1,0,0,1,1,3,1101,original_2010,1.0,1,1.0,54.02661895751953,63.31688690185547,,,,,,,,,84.30614962218904,,96.77850892839301,
100931,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,62.3760871887207,71.59033966064453,1.0,86.75398254394531,86.75398254394531,103.0165023803711,86.75398254394531,94.07251739501953,77.58199310302734,90.9689712524414,88.2488728918923,104.87078552861624,96.77850892839301,107.9353463363478
100941,1,0,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,54.02661895751953,,1.0,79.90498352050781,79.90498352050781,,79.90498352050781,63.48774337768555,75.21158599853516,,72.61030195171666,86.02465424836947,80.1968094518493,89.3569381823894
101001,1,1,0,0,0,0,0,0,1,1000,original_2010,1.0,1,,,,,,,,,,,,,,,
101041,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,54.02661895751953,65.98860931396484,1.0,79.90498352050781,79.90498352050781,98.05950164794922,79.90498352050781,89.54589080810547,74.43412017822266,87.38935852050781,79.81383428122095,95.301892240219,85.6900772127506,99.72647044636958
101051,1,1,1,1,0,0,1,1,3,1101,original_2010,1.0,1,1.0,62.3760871887207,76.5256576538086,,,,,,,,,90.5281835908582,,106.00880472115563,
101061,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,53.35859298706055,63.31688690185547,1.0,74.32684326171875,74.32684326171875,91.19496154785156,74.32684326171875,83.27733612060547,74.43412017822266,84.39167785644531,85.32922836266077,95.37564354943807,87.8902074163763,100.32169203812761
101081,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,68.63143920898438,84.59453582763672,1.0,87.32279968261719,87.32279968261719,97.76055908203125,87.32279968261719,92.8251724243164,73.76172637939453,81.23274993896484,74.84547423696974,88.14571477987687,95.94098272416709,94.17318245896554
101101,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,68.63143920898438,84.59453582763672,1.0,87.32279968261719,87.32279968261719,97.76055908203125,87.32279968261719,92.8251724243164,72.89991760253906,79.9533920288086,77.20941347856595,95.08784912700393,91.16172606134819,110.1282075517067
101141,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,66.11632537841797,74.81822967529297,1.0,80.42888641357422,80.42888641357422,93.05647277832031,80.42888641357422,88.35856628417969,70.67255401611328,76.80724334716797,85.8288080762791,102.02785242488456,89.72917527323258,107.50968099807045
101151,1,1,1,1,0,0,0,0,2,1100,original_2010,1.0,1,1.0,75.83673095703125,90.42633819580078,,,,,,,,,,,,
101171,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,68.63143920898438,84.59453582763672,1.0,80.92804718017578,80.92804718017578,97.76055908203125,80.92804718017578,92.8251724243164,70.67255401611328,79.9533920288086,71.52731191825038,80.1704108869955,81.41029049288738,89.29135813563362
101181,1,1,0,0,1,1,0,0,2,1010,original_2010,1.0,1,,,,1.0,,,,,,72.89991760253906,79.9533920288086,,,,
101201,1,1,0,0,1,1,1,1,3,1011,original_2010,1.0,1,,,,1.0,,,,,,72.89991760253906,79.9533920288086,98.26893770651483,127.0706401676248,,
101211,1,1,0,0,0,0,0,0,1,1000,original_2010,1.0,1,,,,,,,,,,,,,,,
101231,1,1,1,0,1,1,0,0,3,1110,original_2010,1.0,1,1.0,75.83673095703125,,1.0,92.88459777832031,92.88459777832031,,92.88459777832031,,76.25936126708984,85.46273040771484,,,,
101241,1,0,0,0,1,1,0,0,2,1010,original_2010,2.0,1,,,,1.0,,,,,,73.76172637939453,,,,,
101251,1,1,1,1,0,0,0,0,2,1100,original_2010,2.0,1,1.0,75.83673095703125,90.42633819580078,,,,,,,,,,,,
